date,IdProduct,IdWarehouse,Actual_Quantity,Predicted_Quantity,Error
2025-03-01,194632,258,1.0,1.25,-0.25
2025-03-01,194464,258,4.0,2.13,1.87
2025-03-01,193417,258,1.0,2.03,-1.0299999999999998
2025-03-01,193214,258,1.0,2.05,-1.0499999999999998
2025-03-01,193371,258,2.0,1.85,0.1499999999999999
2025-03-01,197254,258,1.0,1.21,-0.20999999999999996
2025-03-01,197581,258,1.0,2.09,-1.0899999999999999
2025-03-01,198239,258,2.0,1.39,0.6100000000000001
2025-03-01,197699,258,1.0,2.1,-1.1
2025-03-01,197795,258,1.0,2.1,-1.1
2025-03-01,197798,258,3.0,2.89,0.10999999999999988
2025-03-01,198115,258,1.0,1.3,-0.30000000000000004
2025-03-01,198145,258,1.0,2.1,-1.1
2025-03-01,198230,258,2.0,2.58,-0.5800000000000001
2025-03-01,198794,258,10.0,6.16,3.84
2025-03-01,193188,258,13.0,6.72,6.28
2025-03-01,197676,258,1.0,2.52,-1.52
2025-03-01,191666,258,2.0,1.02,0.98
2025-03-01,190192,258,1.0,1.19,-0.18999999999999995
2025-03-01,191527,258,1.0,1.95,-0.95
2025-03-01,191528,258,2.0,1.32,0.6799999999999999
2025-03-01,192006,258,1.0,1.9,-0.8999999999999999
2025-03-01,192081,258,1.0,1.9,-0.8999999999999999
2025-03-01,192083,258,1.0,1.56,-0.56
2025-03-01,192128,258,3.0,3.99,-0.9900000000000002
2025-03-01,192140,258,2.0,2.02,-0.020000000000000018
2025-03-01,192990,258,11.0,8.69,2.3100000000000005
2025-03-01,192385,258,1.0,2.11,-1.1099999999999999
2025-03-01,192420,258,1.0,1.49,-0.49
2025-03-01,192553,258,3.0,2.51,0.4900000000000002
2025-03-01,192563,258,1.0,2.79,-1.79
2025-03-01,192691,258,1.0,1.08,-0.08000000000000007
2025-03-01,192703,258,2.0,1.24,0.76
2025-03-01,192752,258,1.0,2.04,-1.04
2025-03-01,192777,258,4.0,2.98,1.02
2025-03-01,192830,258,1.0,2.24,-1.2400000000000002
2025-03-01,192839,258,1.0,1.96,-0.96
2025-03-01,192840,258,1.0,1.56,-0.56
2025-03-01,192398,258,1.0,1.37,-0.3700000000000001
2025-03-01,199763,258,2.0,2.8,-0.7999999999999998
2025-03-01,270591,258,12.0,10.89,1.1099999999999994
2025-03-01,199856,258,3.0,1.92,1.08
2025-03-01,243178,258,2.0,1.17,0.8300000000000001
2025-03-01,244402,258,1.0,1.72,-0.72
2025-03-01,244446,258,2.0,2.4,-0.3999999999999999
2025-03-01,247604,258,12.0,6.1,5.9
2025-03-01,248647,258,1.0,1.79,-0.79
2025-03-01,249780,258,2.0,2.59,-0.5899999999999999
2025-03-01,251073,258,5.0,7.65,-2.6500000000000004
2025-03-01,257017,258,2.0,1.18,0.8200000000000001
2025-03-01,258593,258,1.0,1.86,-0.8600000000000001
2025-03-01,258602,258,1.0,2.23,-1.23
2025-03-01,259916,258,4.0,1.74,2.26
2025-03-01,261912,258,1.0,1.01,-0.010000000000000009
2025-03-01,263994,258,1.0,1.01,-0.010000000000000009
2025-03-01,266358,258,1.0,1.2,-0.19999999999999996
2025-03-01,268164,258,1.0,1.16,-0.15999999999999992
2025-03-01,268312,258,2.0,1.08,0.9199999999999999
2025-03-01,190079,258,1.0,3.18,-2.18
2025-03-01,298297,258,1.0,1.57,-0.5700000000000001
2025-03-01,298299,258,1.0,1.43,-0.42999999999999994
2025-03-01,298301,258,1.0,1.99,-0.99
2025-03-01,303585,258,1.0,1.47,-0.47
2025-03-01,304066,258,24.0,22.0,2.0
2025-03-01,304074,258,4.0,2.0,2.0
2025-03-01,304075,258,5.0,1.8,3.2
2025-03-01,304076,258,2.0,1.2,0.8
2025-03-01,239646,258,1.0,1.16,-0.15999999999999992
2025-03-01,199848,258,7.0,3.59,3.41
2025-03-01,239621,258,1.0,1.18,-0.17999999999999994
2025-03-01,222492,258,3.0,1.32,1.68
2025-03-01,201304,258,1.0,1.03,-0.030000000000000027
2025-03-01,201305,258,2.0,1.94,0.06000000000000005
2025-03-01,201653,258,1.0,1.07,-0.07000000000000006
2025-03-01,201726,258,2.0,2.5,-0.5
2025-03-01,202109,258,2.0,1.13,0.8700000000000001
2025-03-01,202906,258,1.0,1.23,-0.22999999999999998
2025-03-01,203200,258,1.0,2.08,-1.08
2025-03-01,203269,258,2.0,1.58,0.41999999999999993
2025-03-01,203270,258,2.0,0.98,1.02
2025-03-01,203273,258,2.0,1.7,0.30000000000000004
2025-03-01,203549,258,1.0,1.73,-0.73
2025-03-01,203986,258,1.0,1.83,-0.8300000000000001
2025-03-01,207194,258,2.0,2.5,-0.5
2025-03-01,219238,258,2.0,2.27,-0.27
2025-03-01,219241,258,2.0,1.55,0.44999999999999996
2025-03-01,219243,258,1.0,1.26,-0.26
2025-03-01,220259,258,2.0,1.84,0.15999999999999992
2025-03-01,220927,258,6.0,3.72,2.28
2025-03-01,221563,258,1.0,2.09,-1.0899999999999999
2025-03-01,221812,258,1.0,1.03,-0.030000000000000027
2025-03-01,221815,258,1.0,1.05,-0.050000000000000044
2025-03-01,239618,258,1.0,1.9,-0.8999999999999999
2025-03-01,190074,258,1.0,1.23,-0.22999999999999998
2025-03-01,184934,258,3.0,1.81,1.19
2025-03-01,184935,258,9.0,6.79,2.21
